Id	Label	Note	Subjects	Versification	_description	Macaronic	Author(s)	Author confidence	Title(s)	Bibliographic Ghosts	Type
DIMEV 121	A mercy fortune have pity on me		Fortune, complaint against; complaints	— seven-line — ababbcc	A complaint against Fortune — three stanzas rhyme royal with 2-line refrain						Text
DIMEV 122	A mery tale y telle yow may	Formerly 2165. For the Cursor Mundi ‘Assumption’, which is directly based on this text, but lacks the Prologue, see 6363; for other versions see 549, 1767, 3523, 4190, 4703.	Virgin Mary, assumption of; legends, of Jesus and Mary	— two-line — aa	The Assumption of Our Lady (earliest version) — in couplets, with a Prologue of ten lines				The Assumption of Our Lady		Text
DIMEV 123	A mine heart remember thee well	"Cf. 1; Ringler Jr. (1992)
XRingler Jr., William A. Bibliography and Index of English Verse in Manuscript 1501-1558. London: Mansell, 1992; prepared and completed by Michael Rudick and Susan J. Ringler , TM 81."	penance	— seven-line — ababbcc	A song of penitence — two stanzas rhyme royal with 2-line refrain						Text
DIMEV 124	A mirror and led us with pride	Acephalous.	pride, against	— four-line	A quatrain in English						Text
DIMEV 125	A monk was in Religion / And to backbiting was ever boune		monks, criticism/satire of; tales, religious didactic	— two-line — aa	The Backbiting Monk, in the Northern Homily Cycle — in couplets				Northern Homily Cycle		Text
DIMEV 126	A most fair and true / Ye cause me rue	"Ringler Jr. (1992)
XRingler Jr., William A. Bibliography and Index of English Verse in Manuscript 1501-1558. London: Mansell, 1992; prepared and completed by Michael Rudick and Susan J. Ringler , TM 1309."	lovers, absence/separation of	— six-line — aabccb	On the absence of his mistress — three 6-line stanzas with a 6-line burden: ‘Parting, parting / I may well synge / hath caused all my payne / from her to part / yt greveth my hart / ye wot not whom I meane’						Text
DIMEV 127	A mother and maid a child hath born		Virgin Mary, songs in honour of; carols, Nativity	— four-line — aabb	Christmas carol — four quatrains (aabb) plus 4-line refrain (abcb): ‘Euixa est puerpera / Quem gabriell predixerat / Quem matris alno gestiens / Clausus Johannes senserat’	Latin					Text
DIMEV 128	A my heart	"A religious parody in Gude & Godlie Ballatis, 1567, repr.
Mitchell (1897)
XMitchell, Alexander Ferrier. A Compendious Book of Godly and Spiritual Songs commonly known as ‘The Gude and Godlie Ballatis’.
Scottish Text Society 39. Edinburgh and London: Blackwood, 1897; cf. Laing (1868)
XLaing, David. A compendius book of Psalms…commonly known as The Gude and Godlie Ballates. Edinburgh: Paterson, 1868; orig. published Edinburgh: Ros, 1578; repr. Mitchell, 1897
, 139; Ringler Jr. (1988)
XRingler Jr., William A. Bibliography and Index of English Verse Printed 1476-1558. London: Mansell, 1988, TM 82."	lovers, addresses to beloved; parody	— eight-line — aaabcccb	The lover reproaches his mistress for her hard heart — seven 8-line stanzas including a 4-line refrain: ‘Adewe pleasure welcome mornynge / alas all payne nowe ys my part / for I see well that sweting / doth not consyder my true hart’						Text
DIMEV 129	A new song anew	"Ringler Jr. (1992)
XRingler Jr., William A. Bibliography and Index of English Verse in Manuscript 1501-1558. London: Mansell, 1992; prepared and completed by Michael Rudick and Susan J. Ringler , TM 32."	mistress, false; lover’s lament; women, faithlessness of	— four-line — abab	Beware of a false mistress — four cross-rhymed quatrains						Text
DIMEV 130	A new song I will begin		Edmund, saint, feast of; carols	— four-line — abab	A carol for St Edmund’s Day — four quatrains						Text
DIMEV 131	A new work is come on hand		carols, Nativity; Nativity	— seven-line, six-line — aaaabab, aaabab	A carol of the Nativity — six stanzas, aaabab (st. 1 differs) with ‘Alleluya’ burden						Text
DIMEV 132	A nice wife A back door / Maketh often times a rich man poor	"Tilley (1950)
XTilley, Morris Palmer. A Dictionary of the Proverbs in England in the 16th and 17th Centuries. Ann Arbor, MI: University of Michigan, 1950, W 370; Ringler Jr. (1992)
XRingler Jr., William A. Bibliography and Index of English Verse in Manuscript 1501-1558. London: Mansell, 1992; prepared and completed by Michael Rudick and Susan J. Ringler , TM 33."	wives, erring; women, erring	— two-line — aa	On erring wives — one couplet						Text
DIMEV 133	A noble emperor come sith that hight Constantine	This is incorporated in the Laud poem, Sancta Crux — see 3387.	Cross, Invention of	— two-line — aa	The Invention of the Cross, in the South English Legendary — in couplets				South English Legendary		Text
DIMEV 134	A noble story writ I find / A pope that wrote…	For other MSS see 2777 and 4979.	Trental of St Gregory; Gregory, saint; exempla		The Trentale of St Gregory		Saint Gregory		The Trentale of St Gregory		Text
DIMEV 135	A pack a pack madame my load alight		love lyrics; roundels; lovers, addresses to beloved	— fourteen-line — abbaabababbaab	A roundel — 14 lines		Charles d’Orléans				Text
DIMEV 136	A pain assigned for mans sin		sermons, verse in	— two-line — aa	A verse tag in a collection of sermons by John Waldeby — one couplet		John Waldeby				Text
DIMEV 137	A patre unigenitus	"Ringler Jr. (1992)
XRingler Jr., William A. Bibliography and Index of English Verse in Manuscript 1501-1558. London: Mansell, 1992; prepared and completed by Michael Rudick and Susan J. Ringler , TM 34."	carols; carols, Nativity	— four-line — aabb	A macaronic carol of the Nativity — five quatrains with burden: ‘Make we ioye nowe in this fest / In quo Cristus natus est / Eya’	Latin					Text
DIMEV 138	A Pharisee upon a time		sermon texts, Gospel	— two-line — aa	Gospel for Friday following Ninth Sunday after Trinity, in the ‘expanded’ Northern Homily Cycle — in couplets				Northern Homily Cycle		Text
DIMEV 139	A philosopher a good clerk secular		envoys; advice; marriage, against	— seven-line, eight-line — ababbcc, ababbcbc	Advice to an old gentleman who wished for a young wife, perhaps by Lydgate — seventy-two rhyme royal stanzas and Envoy of two 8-line stanzas		John Lydgate	uncertain			Text
DIMEV 140	A pity withouten truth	Preceeded by 3276, 971, 4350.	sermons, verse in; virtues	— two-line — aa	Four types of pity in a Latin sermon by Friar Nicolas Philip — two couplets		Friar Nicholas Philip				Text
DIMEV 141	A place that is worshipful and honorable		sermons, verse in	— two-line — aa	A verse tag in a collection of sermons by John Waldeby — one couplet		John Waldeby				Text
DIMEV 142	A poor widow somedeal stoop in age		pilgrims/pilgrimage; beast fables; dreams	— couplets — aa	Geoffrey Chaucer, the Nun’s Priest’s Tale of the Canterbury Tales — 626 lines in couplets.		Geoffrey Chaucer		Nun’s Priest’s Tale; Canterbury Tales		Text
DIMEV 143	A pope in his solemnity		didactic verse		Technical terms for rulers’ titles — four lines						Text
DIMEV 144	"No records were found. Use the ""IMEV Number"" search menu to find the sample records entered in this prototype version of the database."				close						Text
DIMEV 145	A prentice whilom dwelt in our city	The Cook’s Tale is often regarded as fragmentary. In twenty-five manuscripts of the Canterbury Tales, the Tale of Gamelyn (3090) serves as a continuation of sorts.	pilgrims/pilgrimage; London; apprenticeship; fabliau; debauchery; herbergage	— couplets — aa	Geoffrey Chaucer, the Cook’s Tale of the Canterbury Tales — 58 lines in couplets.		Geoffrey Chaucer		Cook’s Tale; Canterbury Tales		Text
DIMEV 146	A pretty wench may be pleasure	"Ringler Jr. (1988)
XRingler Jr., William A. Bibliography and Index of English Verse Printed 1476-1558. London: Mansell, 1988, TP 41."	lovers, advice to; songs; servants; advice	— three-line, nine-line — aaa, aabaccaaa	Spend your money on a pretty wench — two 3-line stanzas (aaa) and nine-line burden: ‘Joly felowe joly / joly felowe joly / Yf thou haue but lytyll mony / Spend it not in foly / But spend yt on a prety wenche / & she shal help the at a pinche / Hey joly felow joly joly / Hey joly felow joly / Hey joly’						Text
DIMEV 147	A priest sometime was in Rome me cleped Saturnine		Saturninus, saint, life of	— two-line — aa	Life of St Saturninus, in one MS of the South English Legendary — in couplets				South English Legendary		Text
DIMEV 148	A prince is clad in clothes of dule		Christ, sufferings of; sermons, verse in; Crucifixion	— four-line — abab	On the crucifixion — one quatrain in a Good Friday sermon						Text
DIMEV 149	A principle point of charity		carols; carols, Nativity	— four-line — aabb	Be merry in the Nativity, a carol — four quatrains including refrain (aabb): ‘Be mery, be mery, I pray þu euerychon’						Text
DIMEV 150	A rich man by old days / Thought for to leave this worlds plays	For a different version of this legend see 1785.	Mawryne the monk	— two-line — aa	The Monk Mawryne, in the Northern Homily Cycle — in couplets				Northern Homily Cycle	Cambridge UK, Cambridge University Library Addit. 8335 [olim Bute], p. 204.	Text
DIMEV 151	A Robin gentle Robin	"In London, British Library Addit. 31922 eleven lines in three stanzas; in London, British Library Addit. 28636 and London, British Library Egerton 2711, attributed to Wyatt and expanded to five quatrains and burden; see Ringler Jr. (1992)
XRingler Jr., William A. Bibliography and Index of English Verse in Manuscript 1501-1558. London: Mansell, 1992; prepared and completed by Michael Rudick and Susan J. Ringler , TM 85."	complaints, lovers’; women, praise of; women, against	— four-line	Women kind and unkind — eleven to twenty lines in quatrains, with refrain, “A robin gentle Robin / tell me how thy leman doth / and thou shall know of mine.”		Thomas Wyatt				Text
DIMEV 152	A ruler of all realms	Cf. 157, 2726, 3045, 4838.	sermons, verse in	— five-line — alliteration, abaac	A tag in an English prose homily						Text
DIMEV 153	A Sexton was in an Abbey / Of the Order of Monks grey		Virgin Mary, miracles of; monks, tales of	— two-line — aa	The Incontinent Monk drowned, a miracle of the Virgin — in couplets						Text
DIMEV 154	A shield of red a cross of green		Christ, ‘arms’ of; heraldry	— two-line — aa	The ‘Arms of Christ’ — three couplets				‘Arms of Christ’	San Marino, CA, Henry Huntington Library HM 26054 [olim Tollemache, Helmingham Hall], f. 3v: not in this MS.	Text
DIMEV 155	A showing of hearty loving		sermons, verse in	— two-line — aa	A verse tag in a collection of sermons by John Waldeby — one couplet		John Waldeby				Text
DIMEV 156	A singular demonstration in warning		sermons, verse in; penance	— two-line — aa	Warning to sinners in a Latin sermon — one couplet						Text
DIMEV 157	A softness of a sovereign to subjects he hath I-showed	Cf. 152, 2726, 3045, 4838.	sermons, verse in	— three-line — aaa	Alliterative verse in an English prose homily — three lines, each followed by refrain, ‘in þat a haþ sent from heuene & deliuerid / þus tanne i seie he haþ deliuerid’						Text
DIMEV 158	"No records were found. Use the ""IMEV Number"" search menu to find the sample records entered in this prototype version of the database."				close						Text
DIMEV 159	A solitary sore complaining		complaints; Humphrey, duke of Gloucester; Jacqueline of Hainault	— seven-line — ababbcc	John Lydgate, ‘A Complaint for my Lady of Gloucester and Holland’ — eighteen rhyme royal stanzas		John Lydgate		‘A Complaint for my Lady of Gloucester and Holland’		Text
DIMEV 160	A son take heed to me whose son Thou was	Preceded by rhyming address on tribulations of the Virgin Mary: see 705.	dialogues, Virgin and Christ; crucifixion	— two-line — aa	A dialogue between the Virgin Mary and her Son on the Cross — fourteen lines in couplets						Text
DIMEV 161	A song to sing I have good right		carols, Nativity; carols; songs	— four-line — abab, aaaa	A macaronic carol of the Nativity — six quatrains (abab) and four-line Latin burden: ‘Laus, honor, virtus, gloria / Et tibi decus Maria’ (repeated)	Latin					Text
DIMEV 162	A sorry beverage it is and sore it is a-bought		prayers, of Christ	— four-line — aaaa	Christ’s Prayer in Gethsemane — two monorhyming quatrains						Text
DIMEV 163	A soul that list to sing of love	"Ringler Jr. (1992)
XRingler Jr., William A. Bibliography and Index of English Verse in Manuscript 1501-1558. London: Mansell, 1992; prepared and completed by Michael Rudick and Susan J. Ringler , TM 38."	Christ, burial and resurrection	— irregular, eight-line — aaabcccb, ababbcbc	The ‘Bodley’ Burial of Christ and His Resurrection — 1631 lines in various stanzas, mostly 8-line, aaabcccb				Burial of Christ and His Resurrection		Text
DIMEV 164	A sour apple when it is hot		proverbs	— two-line — aa	A proverbial couplet						Text
DIMEV 165	A sovereign beauty over all thee leave	tongue, advice concerning use of		— two-line — aa	On the virtue of a well-bridled tongue — one couplet						Text
