Id	First Line	Description	Title(s)	Author(s)	Subject(s)	Versification	Note
DIMEV 123	A mine heart remember thee well	A song of penitence — two stanzas rhyme royal with 2-line refrain			penance	— seven-line — ababbcc	Cf. 1; Ringler Jr. (1992) XRingler Jr., William A. Bibliography and Index of English Verse in Manuscript 1501-1558. London: Mansell, 1992; prepared and completed by Michael Rudick and Susan J. Ringler , TM 81.
DIMEV 124	A mirror and led us with pride	A quatrain in English			pride, against	— four-line	Acephalous.
DIMEV 125	A monk was in Religion / And to backbiting was ever boune	The Backbiting Monk, in the Northern Homily Cycle — in couplets	 Northern Homily Cycle		monks, criticism/satire of; tales, religious didactic	— two-line — aa	
DIMEV 126	A most fair and true / Ye cause me rue	On the absence of his mistress — three 6-line stanzas with a 6-line burden: ‘Parting, parting / I may well synge / hath caused all my payne / from her to part / yt greveth my hart / ye wot not whom I meane’			lovers, absence/separation of	— six-line — aabccb	Ringler Jr. (1992) XRingler Jr., William A. Bibliography and Index of English Verse in Manuscript 1501-1558. London: Mansell, 1992; prepared and completed by Michael Rudick and Susan J. Ringler , TM 1309.
DIMEV 127	A mother and maid a child hath born	Christmas carol — four quatrains (aabb) plus 4-line refrain (abcb): ‘Euixa est puerpera / Quem gabriell predixerat / Quem matris alno gestiens / Clausus Johannes senserat’			Virgin Mary, songs in honour of; carols, Nativity	— four-line — aabb	
DIMEV 128	A my heart	The lover reproaches his mistress for her hard heart — seven 8-line stanzas including a 4-line refrain: ‘Adewe pleasure welcome mornynge / alas all payne nowe ys my part / for I see well that sweting / doth not consyder my true hart’			lovers, addresses to beloved; parody	— eight-line — aaabcccb	A religious parody in Gude & Godlie Ballatis, 1567, repr. Mitchell (1897) XMitchell, Alexander Ferrier. A Compendious Book of Godly and Spiritual Songs commonly known as ‘The Gude and Godlie Ballatis’. Scottish Text Society 39. Edinburgh and London: Blackwood, 1897; cf. Laing (1868) XLaing, David. A compendius book of Psalms…commonly known as The Gude and Godlie Ballates. Edinburgh: Paterson, 1868; orig. published Edinburgh: Ros, 1578; repr. Mitchell, 1897 , 139; Ringler Jr. (1988) XRingler Jr., William A. Bibliography and Index of English Verse Printed 1476-1558. London: Mansell, 1988, TM 82.
DIMEV 129	A new song anew	Beware of a false mistress — four cross-rhymed quatrains			mistress, false; lover’s lament; women, faithlessness of	— four-line — abab	Ringler Jr. (1992) XRingler Jr., William A. Bibliography and Index of English Verse in Manuscript 1501-1558. London: Mansell, 1992; prepared and completed by Michael Rudick and Susan J. Ringler , TM 32.
DIMEV 130	A new song I will begin	A carol for St Edmund’s Day — four quatrains			Edmund, saint, feast of; carols	— four-line — abab	
DIMEV 131	A new work is come on hand	A carol of the Nativity — six stanzas, aaabab (st. 1 differs) with ‘Alleluya’ burden			carols, Nativity; Nativity	— seven-line, six-line — aaaabab, aaabab	
DIMEV 132	A nice wife A back door / Maketh often times a rich man poor	On erring wives — one couplet			wives, erring; women, erring	— two-line — aa	Tilley (1950) XTilley, Morris Palmer. A Dictionary of the Proverbs in England in the 16th and 17th Centuries. Ann Arbor, MI: University of Michigan, 1950, W 370; Ringler Jr. (1992) XRingler Jr., William A. Bibliography and Index of English Verse in Manuscript 1501-1558. London: Mansell, 1992; prepared and completed by Michael Rudick and Susan J. Ringler , TM 33.
DIMEV 133	A noble emperor come sith that hight Constantine	The Invention of the Cross, in the South English Legendary — in couplets	 South English Legendary		Cross, Invention of	— two-line — aa	This is incorporated in the Laud poem, Sancta Crux — see 3387.
DIMEV 134	A noble story writ I find / A pope that wrote…	The Trentale of St Gregory	 The Trentale of St Gregory	Saint Gregory	Trental of St Gregory; Gregory, saint; exempla		For other MSS see 2777 and 4979.
DIMEV 135	A pack a pack madame my load alight	A roundel — 14 lines		Charles d’Orléans	love lyrics; roundels; lovers, addresses to beloved	— fourteen-line — abbaabababbaab	
DIMEV 136	A pain assigned for mans sin	A verse tag in a collection of sermons by John Waldeby — one couplet		John Waldeby	sermons, verse in	— two-line — aa	
DIMEV 137	A patre unigenitus	A macaronic carol of the Nativity — five quatrains with burden: ‘Make we ioye nowe in this fest / In quo Cristus natus est / Eya’			carols; carols, Nativity	— four-line — aabb	Ringler Jr. (1992) XRingler Jr., William A. Bibliography and Index of English Verse in Manuscript 1501-1558. London: Mansell, 1992; prepared and completed by Michael Rudick and Susan J. Ringler , TM 34.
DIMEV 138	A Pharisee upon a time	Gospel for Friday following Ninth Sunday after Trinity, in the ‘expanded’ Northern Homily Cycle — in couplets	 Northern Homily Cycle		sermon texts, Gospel	— two-line — aa	
DIMEV 139	A philosopher a good clerk secular	Advice to an old gentleman who wished for a young wife, perhaps by Lydgate — seventy-two rhyme royal stanzas and Envoy of two 8-line stanzas		John Lydgate (?)	envoys; advice; marriage, against	— seven-line, eight-line — ababbcc, ababbcbc	
DIMEV 140	A pity withouten truth	Four types of pity in a Latin sermon by Friar Nicolas Philip — two couplets		Friar Nicholas Philip	sermons, verse in; virtues	— two-line — aa	Preceeded by 3276, 971, 4350.
DIMEV 141	A place that is worshipful and honorable	A verse tag in a collection of sermons by John Waldeby — one couplet		John Waldeby	sermons, verse in	— two-line — aa	
DIMEV 142	A poor widow somedeal stoop in age	Geoffrey Chaucer, the Nun’s Priest’s Tale of the Canterbury Tales — 626 lines in couplets.	 Nun’s Priest’s Tale; Canterbury Tales	Geoffrey Chaucer	pilgrims/pilgrimage; beast fables; dreams	— couplets — aa	
DIMEV 143	A pope in his solemnity	Technical terms for rulers’ titles — four lines			didactic verse		
DIMEV 144	A prelate negligent	The Twelve Abuses — twelve lines			Abuses, Twelve; monks, criticism/satire of	— two-line — aa	Cf. 2994.
DIMEV 145	A prentice whilom dwelt in our city	Geoffrey Chaucer, the Cook’s Tale of the Canterbury Tales — 58 lines in couplets.	 Cook’s Tale; Canterbury Tales	Geoffrey Chaucer	pilgrims/pilgrimage; London; apprenticeship; fabliau; debauchery; herbergage	— couplets — aa	The Cook’s Tale is often regarded as fragmentary. In twenty-five manuscripts of the Canterbury Tales, the Tale of Gamelyn (3090) serves as a continuation of sorts.
DIMEV 146	A pretty wench may be pleasure	Spend your money on a pretty wench — two 3-line stanzas (aaa) and nine-line burden: ‘Joly felowe joly / joly felowe joly / Yf thou haue but lytyll mony / Spend it not in foly / But spend yt on a prety wenche / & she shal help the at a pinche / Hey joly felow joly joly / Hey joly felow joly / Hey joly’			lovers, advice to; songs; servants; advice	— three-line, nine-line — aaa, aabaccaaa	Ringler Jr. (1988) XRingler Jr., William A. Bibliography and Index of English Verse Printed 1476-1558. London: Mansell, 1988, TP 41.
DIMEV 147	A priest sometime was in Rome me cleped Saturnine	Life of St Saturninus, in one MS of the South English Legendary — in couplets	 South English Legendary		Saturninus, saint, life of	— two-line — aa	
DIMEV 148	A prince is clad in clothes of dule	On the crucifixion — one quatrain in a Good Friday sermon			Christ, sufferings of; sermons, verse in; Crucifixion	— four-line — abab	
DIMEV 149	A principle point of charity	Be merry in the Nativity, a carol — four quatrains including refrain (aabb): ‘Be mery, be mery, I pray þu euerychon’			carols; carols, Nativity	— four-line — aabb	
DIMEV 150	A rich man by old days / Thought for to leave this worlds plays	The Monk Mawryne, in the Northern Homily Cycle — in couplets	 Northern Homily Cycle		Mawryne the monk	— two-line — aa	For a different version of this legend see 1785.
DIMEV 151	A Robin gentle Robin	Women kind and unkind — eleven to twenty lines in quatrains		Thomas Wyatt	complaints, lovers’; women, praise of; women, against	— four-line	In London, British Library Addit. 31922 eleven lines in three stanzas; in London, British Library Addit. 28636 and London, British Library Egerton 2711, attributed to Wyatt and expanded to five quatrains and burden; Ringler Jr. (1992) XRingler Jr., William A. Bibliography and Index of English Verse in Manuscript 1501-1558. London: Mansell, 1992; prepared and completed by Michael Rudick and Susan J. Ringler , TM 85.
DIMEV 152	A ruler of all realms	A tag in an English prose homily			sermons, verse in	— five-line — alliteration, abaac	Cf. 157, 2726, 3045, 4838.
DIMEV 153	A Sexton was in an Abbey / Of the Order of Monks grey	The Incontinent Monk drowned, a miracle of the Virgin — in couplets			Virgin Mary, miracles of; monks, tales of	— two-line — aa	
DIMEV 154	A shield of red a cross of green	The ‘Arms of Christ’ — three couplets	 ‘Arms of Christ’		Christ, ‘arms’ of; heraldry	— two-line — aa	
DIMEV 155	A showing of hearty loving	A verse tag in a collection of sermons by John Waldeby — one couplet		John Waldeby	sermons, verse in	— two-line — aa	
DIMEV 156	A singular demonstration in warning	Warning to sinners in a Latin sermon — one couplet			sermons, verse in; penance	— two-line — aa	
DIMEV 157	A softness of a sovereign to subjects he hath I-showed	Alliterative verse in an English prose homily — three lines, each followed by refrain, ‘in þat a haþ sent from heuene & deliuerid / þus tanne i seie he haþ deliuerid’			sermons, verse in	— three-line — aaa	Cf. 152, 2726, 3045, 4838.
DIMEV 158	A solitary here / hermit life I lead	Verses surrounding a picture of Rolle, in two MSS of the Desert of Religion (1099) — four long monorhyming lines with internal rhymes		Richard Rolle		— four-line — aaaa, internal	For alternative text see 2284.
DIMEV 159	A solitary sore complaining	John Lydgate, ‘A Complaint for my Lady of Gloucester and Holland’ — eighteen rhyme royal stanzas	 ‘A Complaint for my Lady of Gloucester and Holland’	John Lydgate	complaints; Humphrey, duke of Gloucester; Jacqueline of Hainault	— seven-line — ababbcc	
DIMEV 160	A son take heed to me whose son Thou was	A dialogue between the Virgin Mary and her Son on the Cross — fourteen lines in couplets			dialogues, Virgin and Christ; crucifixion	— two-line — aa	Preceded by rhyming address on tribulations of the Virgin Mary: see 705.
DIMEV 161	A song to sing I have good right	A macaronic carol of the Nativity — six quatrains (abab) and four-line Latin burden: ‘Laus, honor, virtus, gloria / Et tibi decus Maria’ (repeated)			carols, Nativity; carols; songs	— four-line — abab, aaaa	
DIMEV 162	A sorry beverage it is and sore it is a-bought	Christ’s Prayer in Gethsemane — two monorhyming quatrains			prayers, of Christ	— four-line — aaaa	
DIMEV 163	A soul that list to sing of love	The ‘Bodley’ Burial of Christ and His Resurrection — 1631 lines in various stanzas, mostly 8-line, aaabcccb	 Burial of Christ and His Resurrection		Christ, burial and resurrection	— irregular, eight-line — aaabcccb, ababbcbc	Ringler Jr. (1992) XRingler Jr., William A. Bibliography and Index of English Verse in Manuscript 1501-1558. London: Mansell, 1992; prepared and completed by Michael Rudick and Susan J. Ringler , TM 38.
DIMEV 164	A sour apple when it is hot	A proverbial couplet			proverbs	— two-line — aa	
DIMEV 165	A sovereign beauty over all thee leave	On the virtue of a well-bridled tongue — one couplet				— two-line — aa	tongue, advice concerning use of
DIMEV 166	A sovereign praising of Gods might that is endless	A verse tag in a collection of sermons by John Waldeby — one quatrain		John Waldeby	sermons, verse in	— four-line — aaab	
DIMEV 167	A sufficient salve for each disease	The Virtue of Pacience — one cross-rhymed quatrain			virtues	— four-line — abab	Ringler Jr. (1992) XRingler Jr., William A. Bibliography and Index of English Verse in Manuscript 1501-1558. London: Mansell, 1992; prepared and completed by Michael Rudick and Susan J. Ringler , TM 41.
DIMEV 168	A tale hear now thee shall / According to our Mater all	Wife who hung her husband’s shirt by her bed, in the ‘expanded’ Northern Homily Cycle — in couplets	 Northern Homily Cycle		domestic life; exempla	— two-line — aa	
DIMEV 169	A tale of this feast have I heard / How it once of a widow fared	The Widow’s Candle, in the Northern Homily Cycle (Purification) — in couplets	 Northern Homily Cycle		Purification, feast of [Candlemas]; miracles	— two-line — aa	Another version of this miracle occurs in the section on the Purification in 2908.
DIMEV 170	A tapet            of truth	Preparations for offering hospitality to Christ, in a Latin sermon Qui custos domini sui gloriabitur, by Friar Nicholas Philip — four lines		Friar Nicholas Philip	sermons, verse in; Christ, thanksgivings to; Christ, love toward; advice, spiritual	— four-line — abcb	
DIMEV 171	A temple of true wedding	Four ways in which a church is sanctified at its dedication, in a sermon (?by John of Bromyard), ‘de dedicatione ecclesie’ — 8 lines in couplets and monorhyming quatrain			sermons, verse in; dedications; churches, dedication of	— two-line, four-line — aa, aaaa	
